V1,V2,V3,w1,w2,w3,d1,d2,n,a,b,theta
-98,12,-5,29,11,7,7,6,2,110.15485382080078,125.43063354492188,178.79298400878906
-98,12,0,35,14,25,6,5,1,110.07447814941406,126.99835968017578,93.0541763305664
-98,12,0,35,14,10,5,7,1,109.96611022949219,125.92724609375,92.08504486083984
-98,12,0,26,13,25,6,7,2,101.043701171875,126.25714874267578,179.89796447753906
-98,12,-5,29,10,19,7,6,2,111.00077819824219,125.30512237548828,178.5240936279297
-98,12,0,23,15,7,7,5,1,79.06353759765625,135.29791259765625,1.8271385431289673
-98,12,0,32,13,7,7,7,1,123.83195495605469,125.20564270019531,100.086669921875
-98,12,0,26,11,13,6,7,2,101.40215301513672,125.899169921875,179.8574676513672
-98,12,-5,26,10,1,6,7,1,75.37202453613281,137.35157775878906,2.2790794372558594
-98,12,-5,29,11,1,5,6,1,111.63375854492188,124.93675994873047,178.52294921875
-98,12,-5,23,15,13,7,5,1,80.53356170654297,133.3234405517578,2.096323251724243
-98,12,-5,26,14,19,6,7,2,97.73245239257812,126.67919921875,0.9976582527160645
-98,12,-5,32,13,7,6,7,1,123.63020324707031,125.25846862792969,103.79300689697266
-98,12,0,29,14,22,5,7,2,111.8202133178711,125.18451690673828,0.8369427919387817
-98,12,-5,29,10,13,6,5,1,111.18177032470703,125.22628021240234,179.0322723388672
-98,12,0,29,14,25,6,7,2,111.54422760009766,125.1673583984375,0.8275808691978455
-98,12,0,23,14,22,5,6,1,84.76698303222656,136.5005645751953,1.7189840078353882
-98,12,0,23,13,13,6,5,1,84.47205352783203,136.83908081054688,1.2930917739868164
-98,12,0,32,11,7,6,7,1,123.70999908447266,126.36371612548828,96.93145751953125
-98,12,0,32,14,13,7,6,1,123.77092742919922,124.92472839355469,108.04031372070312
-98,12,0,23,12,25,7,6,1,84.76602172851562,136.1736602783203,1.498458743095398
-98,12,-5,35,13,13,5,6,2,111.09764099121094,123.77495574951172,93.97917938232422
-98,12,-5,26,13,10,5,7,1,103.5025405883789,111.68157196044922,97.51675415039062
-98,12,-5,32,14,19,5,6,1,123.68742370605469,124.55226135253906,117.2628173828125
-98,12,-5,23,11,19,6,6,1,77.48018646240234,136.13259887695312,2.007383346557617
-98,12,-5,23,13,7,5,5,1,75.35671997070312,137.67713928222656,1.9398709535598755
-98,12,0,26,15,28,6,5,1,101.31131744384766,125.908203125,0.36856454610824585
-98,12,0,32,13,25,5,7,1,123.73189544677734,126.38307189941406,100.9665756225586
-98,12,-5,23,15,22,5,7,1,77.41568756103516,135.8122100830078,2.23974609375
-98,12,0,35,14,16,6,6,1,109.6693115234375,127.4438247680664,92.81791687011719
-98,12,0,23,12,28,6,7,1,92.60835266113281,129.9990234375,2.380047082901001
-98,12,0,23,11,16,6,7,1,88.31764221191406,131.73855590820312,1.5105056762695312
